"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point"
"2024-02-19T17:00:00.000","2024-02-19T00:00:00.000","17:00","2024","Monday","2024-02-19T17:10:00.000","136600568020","1366005","240110829","240502283","II","Initial",,"68020","Miscellaneous Investigation","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","FILLMORE ST \ TURK ST","25973000","Northern","Western Addition","5","5","37.780494689941406","-122.43214416503906","POINT (-122.43214416503906 37.780494689941406)"
"2024-02-19T16:00:00.000","2024-02-19T00:00:00.000","16:00","2024","Monday","2024-02-19T16:00:00.000","136597563010","1365975","230139754",,"IS","Initial Supplement",,"63010","Warrant","Other","Warrant Arrest, Local SF Warrant","Cite or Arrest Adult","UNITED NATIONS PLZ \ LEAVENWORTH ST","30044000","Tenderloin","Tenderloin","5","6","37.779991149902344","-122.41349029541016","POINT (-122.41349029541016 37.779991149902344)"
"2024-02-19T16:00:00.000","2024-02-19T00:00:00.000","16:00","2024","Monday","2024-02-19T17:15:00.000","136599504134","1365995","240110879","240502365","II","Initial",,"04134","Assault","Simple Assault","Battery","Open or Active","VAN NESS AVE \ REDWOOD ST","24469000","Northern","Tenderloin","5","6","37.780574798583984","-122.42025756835938","POINT (-122.42025756835938 37.780574798583984)"
"2024-02-19T16:00:00.000","2024-02-19T00:00:00.000","16:00","2024","Monday","2024-02-19T16:38:00.000","136598403072","1365984","240110750","240502158","II","Initial",,"03072","Robbery","Robbery - Other","Robbery, W/ Knife","Open or Active","GRANT AVE \ CALIFORNIA ST","24751000","Central","Financial District/South Beach","3","3","37.792449951171875","-122.40593719482422","POINT (-122.40593719482422 37.792449951171875)"
"2024-02-19T15:34:00.000","2024-02-19T00:00:00.000","15:34","2024","Monday","2024-02-19T15:37:00.000","136605006363","1366050","240110766","240501988","II","Initial",,"06363","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Open or Active","SPEAR ST \ FOLSOM ST","23607000","Southern","Financial District/South Beach","6","6","37.790069580078125","-122.3909683227539","POINT (-122.3909683227539 37.790069580078125)"
"2024-02-19T15:17:00.000","2024-02-19T00:00:00.000","15:17","2024","Monday","2024-02-19T15:18:00.000","136603261030","1366032","240110578","240501937","II","Initial",,"61030","Other","Other","Death Report, Cause Unknown","Open or Active","BRYANT ST \ CONVERSE ST","24200000","Southern","South of Market","6","6","37.7721061706543","-122.40750122070312","POINT (-122.40750122070312 37.7721061706543)"
"2024-02-19T15:07:00.000","2024-02-19T00:00:00.000","15:07","2024","Monday","2024-02-19T15:07:00.000","136596963010","1365969","240110590","240501901","II","Initial",,"63010","Warrant","Other","Warrant Arrest, Local SF Warrant","Cite or Arrest Adult","TURK ST \ TAYLOR ST","24924000","Tenderloin","Tenderloin","5","6","37.7832145690918","-122.4107666015625","POINT (-122.4107666015625 37.7832145690918)"
"2024-02-19T15:00:00.000","2024-02-19T00:00:00.000","15:00","2024","Monday","2024-02-19T15:05:00.000","136598868020","1365988","240110722","240501898","II","Initial",,"68020","Miscellaneous Investigation","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","WHEAT ST \ PAUL AVE","20575000","Bayview","Bayview Hunters Point","10","10","37.723445892333984","-122.40007019042969","POINT (-122.40007019042969 37.723445892333984)"
"2024-02-19T14:30:00.000","2024-02-19T00:00:00.000","14:30","2024","Monday","2024-02-19T21:39:00.000","136605871013","1366058","240111435","240502397","VI","Vehicle Initial",,"71013","Larceny Theft","Theft From Vehicle","License Plate, Stolen","Open or Active","FARVIEW CT \ MARVIEW WAY","32949000","Park","Twin Peaks","7","7","37.755882263183594","-122.44957733154297","POINT (-122.44957733154297 37.755882263183594)"
"2024-02-19T14:22:00.000","2024-02-19T00:00:00.000","14:22","2024","Monday","2024-02-19T14:22:00.000","136595964085","1365959","240110534","240501762","II","Initial",,"64085","Other Miscellaneous","Other","Investigative Detention","Open or Active","MISSION ST \ HIGHLAND AVE \ LEESE ST","21829000","Ingleside","Bernal Heights","8","8","37.73740768432617","-122.42404174804688","POINT (-122.42404174804688 37.73740768432617)"
